Città;Latitudine;Longitudine
Milano;45,4642;9,19
Monza;45,5845;9,2744
Como;45,8081;9,0852
Bergamo;45,6944;9,6694
Brescia;45,5416;10,2118
Mantova;45,1566;10,7916
Varese;45,8174;8,8265
Cremona;45,1333;10,0333
Pavia;45,1847;9,1587
Lecco;45,8557;9,3889
Sondrio;46,17;9,8717
Lodi;45,3136;9,5037
Gallarate;45,6667;8,7833
Legnano;45,5956;8,9169
Rho;45,5271;9,0292
Desenzano del Garda;45,4681;10,5333
Sesto San Giovanni;45,5339;9,2346
Cinisello Balsamo;45,5539;9,2142
Busto Arsizio;45,6115;8,8494
Monza;45,5845;9,2744
